,class
33239,STAR
26520,QSO
46070,STAR
9811,QSO
13045,GALAXY
70519,GALAXY
53635,GALAXY
45461,GALAXY
99063,STAR
37178,STAR
76614,GALAXY
51709,GALAXY
83517,STAR
14981,QSO
6031,GALAXY
28532,QSO
81559,STAR
3457,QSO
52245,STAR
5171,STAR
78589,GALAXY
43714,STAR
47859,QSO
733,GALAXY
53267,GALAXY
8905,GALAXY
48415,GALAXY
29168,STAR
88511,GALAXY
54146,QSO
7673,GALAXY
93901,GALAXY
81247,QSO
63208,QSO
84939,GALAXY
74346,GALAXY
79904,GALAXY
65106,GALAXY
91813,GALAXY
94495,GALAXY
3406,QSO
28696,QSO
56480,GALAXY
57398,STAR
72248,STAR
3520,GALAXY
90557,GALAXY
35513,STAR
33373,GALAXY
5687,GALAXY
72800,GALAXY
2457,GALAXY
29652,GALAXY
42905,GALAXY
34350,STAR
6802,GALAXY
55239,GALAXY
76962,STAR
58653,GALAXY
61755,QSO
27979,GALAXY
64007,GALAXY
3650,GALAXY
51162,GALAXY
49637,STAR
98548,STAR
35647,GALAXY
6646,STAR
27003,GALAXY
40698,QSO
10706,GALAXY
20588,GALAXY
50523,GALAXY
96874,GALAXY
93373,GALAXY
41833,STAR
37265,GALAXY
24566,STAR
34050,QSO
20361,GALAXY
28641,GALAXY
51924,QSO
56221,QSO
45239,GALAXY
10481,STAR
31559,QSO
42540,STAR
98349,GALAXY
61220,GALAXY
3579,GALAXY
69712,GALAXY
19945,STAR
71481,GALAXY
9117,QSO
57703,GALAXY
38761,GALAXY
32624,GALAXY
53799,STAR
99532,STAR
18145,GALAXY
96117,GALAXY
23767,STAR
8165,GALAXY
40706,STAR
1767,STAR
56835,GALAXY
99091,GALAXY
68657,GALAXY
8024,GALAXY
76326,STAR
91078,GALAXY
65611,STAR
83704,STAR
15040,GALAXY
53795,GALAXY
97377,QSO
78692,GALAXY
41541,GALAXY
88555,GALAXY
92177,QSO
70807,QSO
24682,GALAXY
74740,QSO
39255,GALAXY
68589,STAR
86919,GALAXY
24189,GALAXY
6209,GALAXY
40287,GALAXY
87852,GALAXY
67598,GALAXY
79868,QSO
84718,STAR
64814,GALAXY
304,GALAXY
90508,GALAXY
6679,GALAXY
53802,GALAXY
53679,GALAXY
93374,STAR
51154,GALAXY
62295,STAR
45963,STAR
19569,STAR
17577,STAR
78691,STAR
58986,STAR
89334,GALAXY
87541,QSO
26526,GALAXY
56227,STAR
61790,GALAXY
35257,QSO
15277,GALAXY
97266,STAR
22806,STAR
16596,GALAXY
21716,GALAXY
79932,QSO
18927,GALAXY
33016,QSO
4427,QSO
94184,GALAXY
21029,GALAXY
41918,STAR
7517,STAR
4535,GALAXY
59100,QSO
4904,QSO
54039,GALAXY
50497,GALAXY
35512,GALAXY
51576,GALAXY
18214,GALAXY
49918,GALAXY
49379,QSO
18035,GALAXY
38698,GALAXY
56248,GALAXY
86843,GALAXY
5433,GALAXY
77511,GALAXY
51295,STAR
49412,STAR
10591,QSO
5827,GALAXY
98899,QSO
86057,QSO
61143,GALAXY
20769,GALAXY
77139,GALAXY
4761,GALAXY
29051,QSO
6485,GALAXY
10951,QSO
98080,GALAXY
95075,GALAXY
39407,GALAXY
23114,GALAXY
49507,STAR
94546,GALAXY
36096,GALAXY
20008,GALAXY
67065,GALAXY
71436,GALAXY
75712,GALAXY
34704,GALAXY
89315,GALAXY
39361,GALAXY
48006,GALAXY
73023,GALAXY
65299,GALAXY
25731,GALAXY
22120,GALAXY
83366,QSO
531,GALAXY
84930,QSO
42990,GALAXY
80064,GALAXY
38782,GALAXY
14554,GALAXY
4584,GALAXY
88600,GALAXY
93270,GALAXY
15592,GALAXY
54660,GALAXY
56882,STAR
14585,GALAXY
83690,STAR
90018,GALAXY
89286,GALAXY
91638,QSO
47311,STAR
55894,GALAXY
15033,GALAXY
24114,GALAXY
19266,GALAXY
73908,STAR
32275,STAR
53125,STAR
85068,GALAXY
74672,STAR
92291,GALAXY
88938,GALAXY
54390,GALAXY
82773,QSO
87122,GALAXY
54023,QSO
39693,GALAXY
13686,GALAXY
39502,GALAXY
88941,GALAXY
74417,QSO
67484,GALAXY
7084,GALAXY
87862,GALAXY
4531,QSO
22993,QSO
29233,GALAXY
34374,GALAXY
15714,QSO
55483,STAR
49185,QSO
31982,GALAXY
67979,QSO
69654,GALAXY
41432,GALAXY
232,GALAXY
2479,QSO
33955,GALAXY
63767,GALAXY
1459,GALAXY
90728,GALAXY
13402,GALAXY
81218,GALAXY
11618,GALAXY
14979,QSO
37139,GALAXY
74136,STAR
17290,STAR
54761,QSO
35957,GALAXY
28202,QSO
81840,STAR
75813,GALAXY
26251,QSO
29306,GALAXY
23846,GALAXY
20714,GALAXY
94038,GALAXY
35872,QSO
8730,GALAXY
21138,QSO
32154,GALAXY
57611,QSO
66327,QSO
34466,GALAXY
15163,QSO
16760,GALAXY
39449,GALAXY
479,GALAXY
67215,GALAXY
98917,GALAXY
63341,GALAXY
21854,GALAXY
21010,STAR
81240,STAR
39342,GALAXY
53359,GALAXY
78458,QSO
54093,GALAXY
73165,GALAXY
34892,QSO
83471,STAR
81498,QSO
7153,GALAXY
97366,QSO
23129,GALAXY
78176,GALAXY
9115,GALAXY
3118,GALAXY
24558,GALAXY
31632,QSO
14386,STAR
96161,GALAXY
31829,GALAXY
72911,GALAXY
67877,GALAXY
83448,GALAXY
30761,GALAXY
52727,GALAXY
58594,QSO
72737,STAR
70918,GALAXY
7554,STAR
72739,STAR
85213,GALAXY
67328,GALAXY
61438,GALAXY
47506,QSO
88761,GALAXY
35908,GALAXY
65384,QSO
22661,STAR
95254,GALAXY
47913,GALAXY
35987,GALAXY
11630,QSO
63316,GALAXY
70445,STAR
88785,GALAXY
68337,GALAXY
71662,QSO
2270,STAR
26778,GALAXY
96472,STAR
82741,GALAXY
39215,QSO
62896,GALAXY
44065,QSO
8699,GALAXY
33709,GALAXY
16603,GALAXY
67353,STAR
35028,GALAXY
36609,GALAXY
38141,GALAXY
77399,GALAXY
74107,GALAXY
80282,STAR
29313,GALAXY
7377,STAR
13075,GALAXY
32611,STAR
21535,GALAXY
30040,GALAXY
74817,GALAXY
30696,GALAXY
51971,GALAXY
94851,GALAXY
58650,GALAXY
91232,GALAXY
34269,GALAXY
62670,GALAXY
47543,GALAXY
59449,QSO
18095,GALAXY
88851,GALAXY
38211,STAR
72787,QSO
42531,GALAXY
87940,QSO
64762,GALAXY
18159,GALAXY
96073,STAR
80420,GALAXY
32689,GALAXY
52233,STAR
68587,GALAXY
13349,GALAXY
62342,GALAXY
51368,STAR
30707,GALAXY
36968,GALAXY
24758,STAR
86846,STAR
14256,GALAXY
16601,QSO
26917,GALAXY
82064,GALAXY
87504,GALAXY
34088,GALAXY
48638,GALAXY
84698,GALAXY
94666,GALAXY
26306,GALAXY
42521,GALAXY
14109,GALAXY
97996,GALAXY
58192,GALAXY
80571,GALAXY
97379,GALAXY
96504,STAR
60010,GALAXY
65046,GALAXY
6685,GALAXY
74620,QSO
21477,GALAXY
37563,GALAXY
57352,GALAXY
47367,GALAXY
4618,QSO
44205,GALAXY
13633,GALAXY
39957,GALAXY
70842,QSO
43476,STAR
92086,GALAXY
25338,GALAXY
93615,GALAXY
62701,GALAXY
8000,GALAXY
954,QSO
58495,GALAXY
13881,GALAXY
80679,GALAXY
16207,GALAXY
20873,QSO
56462,GALAXY
86560,STAR
1176,GALAXY
49817,QSO
77533,GALAXY
37704,GALAXY
1856,STAR
90492,GALAXY
29072,GALAXY
66319,GALAXY
2563,GALAXY
86133,GALAXY
40659,GALAXY
56065,GALAXY
681,QSO
62604,GALAXY
80686,QSO
92057,GALAXY
66619,GALAXY
73690,STAR
3823,STAR
68824,GALAXY
51066,GALAXY
75490,GALAXY
86165,STAR
21545,STAR
1193,QSO
86273,GALAXY
70178,GALAXY
81573,GALAXY
65357,GALAXY
64753,GALAXY
89352,GALAXY
29319,GALAXY
44817,GALAXY
19700,GALAXY
52886,GALAXY
43244,GALAXY
18841,GALAXY
76129,QSO
73053,STAR
53183,GALAXY
58652,STAR
68631,QSO
43919,GALAXY
58647,GALAXY
97479,GALAXY
63278,QSO
96183,QSO
58347,QSO
17543,QSO
1719,GALAXY
89619,GALAXY
68836,QSO
70944,GALAXY
99950,GALAXY
9340,GALAXY
30981,GALAXY
69455,STAR
87863,GALAXY
2864,GALAXY
66281,QSO
28238,GALAXY
83580,STAR
39625,STAR
1637,GALAXY
68425,STAR
4231,STAR
20162,STAR
54296,STAR
18467,STAR
2802,GALAXY
81784,GALAXY
59813,GALAXY
79910,GALAXY
31015,GALAXY
21365,GALAXY
62904,GALAXY
53435,QSO
82180,GALAXY
62041,STAR
70570,GALAXY
11138,QSO
7546,QSO
53073,STAR
54871,GALAXY
81861,STAR
92765,STAR
72055,GALAXY
54216,QSO
26062,STAR
89170,GALAXY
33075,QSO
90206,GALAXY
31242,GALAXY
25919,GALAXY
95877,GALAXY
70290,QSO
66259,STAR
24907,GALAXY
70540,STAR
16378,STAR
10292,GALAXY
49758,GALAXY
23427,GALAXY
49396,QSO
68385,QSO
10160,STAR
28689,QSO
57807,GALAXY
48231,QSO
91305,GALAXY
72145,GALAXY
50542,GALAXY
6349,GALAXY
54735,STAR
59981,GALAXY
21001,GALAXY
45455,QSO
91338,STAR
4844,QSO
65243,GALAXY
76169,GALAXY
22282,GALAXY
184,STAR
15771,GALAXY
46135,GALAXY
50367,STAR
56963,GALAXY
3677,GALAXY
21768,STAR
25075,GALAXY
38783,STAR
36730,GALAXY
49425,GALAXY
69921,QSO
82516,STAR
55811,GALAXY
65381,GALAXY
21193,QSO
84825,GALAXY
2224,GALAXY
1963,GALAXY
48161,GALAXY
22334,GALAXY
54558,STAR
10379,GALAXY
96928,STAR
67162,QSO
58593,QSO
19731,GALAXY
57890,GALAXY
15915,GALAXY
32103,QSO
75435,QSO
6504,STAR
82041,GALAXY
55594,GALAXY
75115,GALAXY
59571,GALAXY
86502,STAR
31806,GALAXY
63140,STAR
37726,GALAXY
22528,GALAXY
35558,GALAXY
14849,GALAXY
37969,GALAXY
32934,GALAXY
24330,STAR
42659,STAR
25944,GALAXY
34888,STAR
22227,QSO
58754,GALAXY
77833,GALAXY
86150,STAR
88397,GALAXY
11096,STAR
87281,GALAXY
84622,QSO
18818,QSO
82520,GALAXY
55875,GALAXY
90007,GALAXY
19149,GALAXY
15283,GALAXY
56015,GALAXY
34967,QSO
19197,STAR
55593,GALAXY
75054,GALAXY
67387,QSO
41572,QSO
73204,QSO
82296,STAR
90202,GALAXY
90394,GALAXY
46802,GALAXY
35318,GALAXY
99979,GALAXY
10230,GALAXY
24735,QSO
15261,GALAXY
51958,STAR
51710,GALAXY
77168,GALAXY
76668,GALAXY
3342,GALAXY
95654,GALAXY
67182,GALAXY
13105,QSO
84437,GALAXY
63254,STAR
24127,GALAXY
3864,GALAXY
70395,GALAXY
71559,GALAXY
10796,GALAXY
60952,GALAXY
41220,GALAXY
80500,STAR
85286,GALAXY
40142,GALAXY
11934,STAR
9515,GALAXY
70310,GALAXY
39601,GALAXY
95461,GALAXY
82042,GALAXY
21601,STAR
96268,STAR
56204,STAR
92442,QSO
21154,STAR
70942,GALAXY
27295,GALAXY
56567,QSO
62124,STAR
88743,GALAXY
88803,GALAXY
57197,STAR
79419,QSO
12941,STAR
8581,GALAXY
98405,QSO
49907,GALAXY
20725,GALAXY
41841,GALAXY
57048,GALAXY
92632,GALAXY
40585,GALAXY
6755,GALAXY
48842,GALAXY
25779,STAR
37638,GALAXY
49522,GALAXY
65503,STAR
57709,GALAXY
62795,GALAXY
29708,QSO
10726,QSO
45142,GALAXY
85955,QSO
82107,GALAXY
99980,QSO
87421,GALAXY
68768,QSO
6098,GALAXY
20775,QSO
62361,GALAXY
61352,GALAXY
12988,GALAXY
76286,GALAXY
2990,GALAXY
25295,GALAXY
66210,STAR
75891,GALAXY
29668,GALAXY
77096,STAR
52544,QSO
75647,GALAXY
46636,GALAXY
2722,STAR
26354,GALAXY
11500,GALAXY
6768,QSO
30248,QSO
47338,GALAXY
29241,GALAXY
29698,GALAXY
63069,GALAXY
30139,GALAXY
69595,STAR
14486,QSO
32224,GALAXY
49197,GALAXY
34175,GALAXY
3232,GALAXY
56855,GALAXY
64788,QSO
93414,STAR
64939,GALAXY
13798,GALAXY
63235,GALAXY
38581,GALAXY
33917,STAR
80572,GALAXY
17870,STAR
56376,QSO
67146,STAR
15107,GALAXY
91022,QSO
36338,STAR
5840,GALAXY
33903,QSO
28866,STAR
5858,GALAXY
26375,STAR
79326,GALAXY
26762,GALAXY
69154,GALAXY
49912,STAR
45814,STAR
59317,GALAXY
26919,GALAXY
73380,QSO
20762,GALAXY
36848,GALAXY
5531,QSO
36930,QSO
46672,GALAXY
9352,GALAXY
96054,QSO
17456,GALAXY
77957,GALAXY
23631,GALAXY
22362,QSO
84225,QSO
21574,QSO
8234,GALAXY
20286,STAR
23448,GALAXY
61191,QSO
40308,GALAXY
77959,QSO
23179,QSO
21473,GALAXY
2869,GALAXY
37472,QSO
27446,GALAXY
77810,QSO
45754,GALAXY
89401,STAR
27502,STAR
26236,GALAXY
32896,STAR
86047,STAR
71501,STAR
22127,GALAXY
62191,GALAXY
90836,GALAXY
30360,GALAXY
91050,GALAXY
44385,QSO
53623,GALAXY
43084,GALAXY
48388,GALAXY
46494,STAR
37817,GALAXY
94695,GALAXY
34379,GALAXY
15652,GALAXY
59491,GALAXY
20171,STAR
41766,GALAXY
8981,GALAXY
60602,STAR
18854,GALAXY
38240,STAR
71855,QSO
11979,GALAXY
54364,QSO
48492,STAR
41598,STAR
78431,STAR
59149,GALAXY
76378,GALAXY
5316,GALAXY
42776,STAR
58731,GALAXY
82350,STAR
50634,QSO
57594,GALAXY
21838,GALAXY
97651,STAR
73176,GALAXY
37748,STAR
91520,GALAXY
37245,STAR
10874,QSO
89948,GALAXY
96297,QSO
34703,GALAXY
20806,STAR
6212,GALAXY
45711,STAR
25275,STAR
79711,GALAXY
21056,STAR
13051,QSO
47609,GALAXY
67224,QSO
29595,GALAXY
61550,STAR
76929,GALAXY
26959,STAR
23726,QSO
82649,GALAXY
63153,QSO
94925,GALAXY
81469,GALAXY
77040,GALAXY
86883,GALAXY
94106,GALAXY
20380,QSO
17852,GALAXY
62473,GALAXY
82018,GALAXY
15108,GALAXY
60278,GALAXY
87481,GALAXY
65806,GALAXY
89682,STAR
56697,STAR
53364,GALAXY
66434,STAR
4635,STAR
15090,GALAXY
94962,GALAXY
24851,GALAXY
39182,STAR
65367,GALAXY
88127,GALAXY
85902,GALAXY
30844,STAR
3519,GALAXY
80589,QSO
57932,STAR
70686,STAR
76297,QSO
60116,GALAXY
86961,GALAXY
90305,QSO
49416,STAR
29246,QSO
60123,GALAXY
45933,GALAXY
73669,GALAXY
52229,QSO
7541,STAR
103,GALAXY
24157,QSO
4956,QSO
9833,QSO
93472,QSO
23673,STAR
13705,QSO
62226,GALAXY
95722,GALAXY
48536,QSO
57901,STAR
8826,STAR
88476,QSO
65562,GALAXY
38691,GALAXY
86923,GALAXY
55328,GALAXY
90645,GALAXY
10857,GALAXY
22547,GALAXY
55911,GALAXY
80977,GALAXY
55671,QSO
32821,GALAXY
68533,GALAXY
91028,QSO
58050,GALAXY
7307,STAR
80080,QSO
33397,QSO
3185,QSO
55782,STAR
8141,GALAXY
7054,GALAXY
18469,GALAXY
65999,STAR
93087,GALAXY
40900,GALAXY
23170,STAR
93302,GALAXY
53142,GALAXY
46694,QSO
76105,GALAXY
61621,QSO
72810,GALAXY
91876,GALAXY
25029,QSO
80185,GALAXY
24282,GALAXY
48572,STAR
66217,GALAXY
25314,STAR
13975,STAR
2387,GALAXY
13615,GALAXY
18673,QSO
37587,GALAXY
26591,GALAXY
25298,GALAXY
14890,GALAXY
96280,QSO
98171,GALAXY
95427,GALAXY
97136,STAR
50528,STAR
83518,GALAXY
24799,GALAXY
58721,GALAXY
45893,GALAXY
40775,GALAXY
57612,QSO
20753,STAR
24989,GALAXY
32921,GALAXY
55823,QSO
44949,STAR
79771,GALAXY
55171,GALAXY
98214,GALAXY
21035,QSO
62720,GALAXY
73002,GALAXY
78517,STAR
62743,STAR
86400,STAR
29970,QSO
99365,STAR
3585,GALAXY
31097,STAR
39434,GALAXY
84688,GALAXY
24971,GALAXY
74917,STAR
45257,GALAXY
51603,STAR
19384,GALAXY
80560,GALAXY
82933,QSO
71327,STAR
41825,STAR
36717,GALAXY
36792,QSO
3140,GALAXY
37791,GALAXY
58396,GALAXY
44628,STAR
60507,STAR
44318,GALAXY
20054,STAR
34877,GALAXY
48809,GALAXY
75072,GALAXY
9485,QSO
41450,STAR
43054,STAR
4579,QSO
28948,GALAXY
4148,QSO
85326,STAR
73395,STAR
99376,QSO
1282,GALAXY
35361,STAR
92884,GALAXY
31828,QSO
51614,GALAXY
37734,GALAXY
76909,GALAXY
44623,GALAXY
82347,GALAXY
48748,STAR
80316,QSO
88043,QSO
55152,QSO
52712,QSO
49716,GALAXY
18773,GALAXY
90321,GALAXY
93783,QSO
77625,GALAXY
43443,GALAXY
60312,GALAXY
35568,GALAXY
26122,GALAXY
23802,QSO
76273,STAR
12379,GALAXY
25942,STAR
73370,STAR
98325,STAR
59737,GALAXY
37076,GALAXY
55590,GALAXY
56208,QSO
43107,GALAXY
16858,GALAXY
46414,GALAXY
78189,GALAXY
60313,GALAXY
75347,GALAXY
52952,GALAXY
66896,STAR
5138,GALAXY
81920,QSO
23653,GALAXY
79895,GALAXY
90920,GALAXY
76384,GALAXY
98043,GALAXY
55114,GALAXY
90510,GALAXY
90479,GALAXY
52325,GALAXY
51572,GALAXY
67940,QSO
61202,GALAXY
97896,STAR
80689,QSO
89372,GALAXY
69941,QSO
18560,QSO
22341,GALAXY
49616,GALAXY
90241,QSO
86230,QSO
12297,STAR
13087,GALAXY
68440,GALAXY
40873,GALAXY
73315,GALAXY
14458,GALAXY
59460,GALAXY
40735,QSO
16878,GALAXY
54872,GALAXY
86676,QSO
27352,GALAXY
92691,STAR
98768,QSO
19961,STAR
10530,QSO
89390,STAR
74760,GALAXY
73212,STAR
30618,GALAXY
28505,GALAXY
40656,GALAXY
83195,QSO
53309,STAR
11148,GALAXY
17195,QSO
1489,GALAXY
38487,GALAXY
7694,GALAXY
81756,QSO
57159,STAR
69027,QSO
33183,GALAXY
125,GALAXY
59825,QSO
65765,GALAXY
10734,GALAXY
49552,GALAXY
44701,GALAXY
40718,GALAXY
23549,STAR
38899,GALAXY
9262,GALAXY
89712,GALAXY
20992,GALAXY
95034,GALAXY
49038,QSO
15484,QSO
33296,GALAXY
9572,QSO
25120,GALAXY
6782,GALAXY
19888,STAR
3957,GALAXY
24677,GALAXY
72106,GALAXY
49665,GALAXY
49825,STAR
13726,GALAXY
1947,GALAXY
32350,GALAXY
36372,GALAXY
71594,GALAXY
90292,QSO
10492,QSO
78093,QSO
35016,GALAXY
71181,GALAXY
2139,GALAXY
62943,GALAXY
46959,GALAXY
2291,GALAXY
38390,STAR
90704,GALAXY
70299,GALAXY
8221,GALAXY
53766,GALAXY
53283,GALAXY
19808,STAR
78079,GALAXY
17169,GALAXY
35080,GALAXY
99635,STAR
68354,STAR
3056,QSO
49110,STAR
26453,GALAXY
42949,QSO
20472,STAR
91473,STAR
81344,GALAXY
42056,GALAXY
97889,GALAXY
62598,QSO
11644,STAR
46919,STAR
79457,STAR
35791,GALAXY
98389,STAR
11958,QSO
52241,QSO
77554,GALAXY
88895,GALAXY
41015,GALAXY
53436,STAR
78687,GALAXY
50546,GALAXY
37853,GALAXY
32614,GALAXY
68377,STAR
38918,GALAXY
68656,GALAXY
61366,GALAXY
43557,GALAXY
29144,STAR
25152,GALAXY
8074,GALAXY
44714,GALAXY
46705,GALAXY
52814,QSO
4278,GALAXY
65813,GALAXY
84152,QSO
62402,STAR
29760,QSO
60660,GALAXY
42762,GALAXY
82560,GALAXY
71988,GALAXY
58023,GALAXY
96735,GALAXY
35389,QSO
92365,GALAXY
82803,GALAXY
92865,GALAXY
42393,GALAXY
96830,GALAXY
44718,GALAXY
41058,GALAXY
18315,GALAXY
29774,QSO
83621,QSO
45166,STAR
4689,GALAXY
45877,GALAXY
56033,GALAXY
94935,STAR
32679,GALAXY
68921,STAR
9974,STAR
88516,GALAXY
23551,GALAXY
40762,QSO
96055,GALAXY
27823,GALAXY
73203,GALAXY
18675,GALAXY
39168,STAR
49588,STAR
3306,STAR
43647,QSO
35812,GALAXY
26083,STAR
10391,GALAXY
85961,QSO
41813,GALAXY
30796,QSO
99285,GALAXY
15942,QSO
40417,GALAXY
19865,GALAXY
95219,GALAXY
70999,QSO
12973,GALAXY
22263,GALAXY
23884,GALAXY
21290,STAR
10674,QSO
91940,GALAXY
34085,GALAXY
83253,GALAXY
15763,GALAXY
79195,STAR
72994,STAR
61685,QSO
5729,QSO
12893,STAR
95113,GALAXY
45403,QSO
47252,GALAXY
99628,STAR
29831,GALAXY
79508,STAR
44758,GALAXY
9990,STAR
68798,STAR
28758,STAR
1889,GALAXY
90413,GALAXY
93630,QSO
60796,STAR
9959,GALAXY
64245,GALAXY
50364,GALAXY
36859,GALAXY
91803,GALAXY
72208,QSO
80466,STAR
78185,GALAXY
76064,GALAXY
95439,GALAXY
53129,GALAXY
37944,GALAXY
27583,STAR
34759,GALAXY
24901,GALAXY
46981,GALAXY
24051,GALAXY
2396,GALAXY
17595,QSO
91465,GALAXY
90433,GALAXY
59170,QSO
65105,GALAXY
30947,GALAXY
36507,GALAXY
26163,STAR
51759,GALAXY
1231,GALAXY
23722,GALAXY
46737,QSO
16552,GALAXY
8805,GALAXY
14120,GALAXY
37905,GALAXY
31406,GALAXY
79077,GALAXY
29037,QSO
82124,QSO
36531,QSO
9060,STAR
33870,QSO
71089,QSO
203,GALAXY
16240,GALAXY
5129,GALAXY
93342,GALAXY
52104,STAR
1309,QSO
71037,STAR
69074,GALAXY
51317,QSO
28562,GALAXY
55703,GALAXY
7748,QSO
15060,GALAXY
82063,GALAXY
44565,STAR
34415,QSO
27876,QSO
72817,QSO
85835,QSO
99379,GALAXY
6544,GALAXY
66902,QSO
20672,STAR
69721,STAR
16561,GALAXY
26643,GALAXY
7218,GALAXY
85186,GALAXY
70650,GALAXY
67815,GALAXY
71627,GALAXY
93387,GALAXY
18086,GALAXY
78480,QSO
88000,GALAXY
30952,GALAXY
38670,GALAXY
81671,STAR
60959,GALAXY
30239,GALAXY
74297,GALAXY
46518,STAR
3493,QSO
50709,GALAXY
31335,GALAXY
12102,GALAXY
5606,GALAXY
8814,STAR
10844,GALAXY
44948,QSO
22376,GALAXY
96451,GALAXY
53750,GALAXY
46623,QSO
39868,QSO
89987,STAR
63993,STAR
52367,STAR
28870,GALAXY
55748,STAR
88932,QSO
30384,GALAXY
52194,QSO
21285,GALAXY
23774,GALAXY
6871,QSO
79284,GALAXY
53835,GALAXY
43344,STAR
25379,GALAXY
28032,GALAXY
9725,GALAXY
58169,STAR
3384,QSO
75652,GALAXY
12308,QSO
35985,GALAXY
9893,STAR
92131,GALAXY
30852,GALAXY
53409,QSO
73387,STAR
45969,GALAXY
88890,STAR
41240,STAR
81361,GALAXY
4708,STAR
17828,GALAXY
3136,GALAXY
15405,GALAXY
82863,GALAXY
32910,GALAXY
90052,QSO
75622,QSO
38404,QSO
36972,GALAXY
28546,GALAXY
97484,QSO
3195,GALAXY
79757,GALAXY
87210,QSO
20887,QSO
90340,GALAXY
11976,GALAXY
87747,GALAXY
47109,GALAXY
18093,GALAXY
98876,GALAXY
72801,STAR
91708,GALAXY
347,STAR
5507,QSO
5194,QSO
81969,QSO
12606,GALAXY
95306,GALAXY
3206,QSO
5734,STAR
8220,STAR
21049,GALAXY
12807,GALAXY
64662,GALAXY
92539,GALAXY
32067,GALAXY
12427,STAR
63109,GALAXY
83411,GALAXY
28800,STAR
17382,GALAXY
90224,STAR
57440,GALAXY
7473,GALAXY
51660,GALAXY
33030,QSO
21341,QSO
69117,GALAXY
15306,GALAXY
82770,QSO
76951,GALAXY
51515,GALAXY
16664,GALAXY
56842,STAR
31838,QSO
98398,GALAXY
97194,GALAXY
90412,GALAXY
63676,GALAXY
48588,GALAXY
40512,QSO
22782,STAR
31501,GALAXY
97978,QSO
2228,GALAXY
97541,GALAXY
40122,GALAXY
3893,STAR
67462,GALAXY
80464,STAR
49074,GALAXY
57262,STAR
97745,GALAXY
57927,GALAXY
68899,GALAXY
97634,GALAXY
28036,GALAXY
19130,QSO
92704,QSO
49407,QSO
45979,STAR
5165,GALAXY
80062,STAR
21083,QSO
7592,STAR
6164,GALAXY
66683,GALAXY
41139,QSO
70277,GALAXY
17198,GALAXY
75517,GALAXY
11881,GALAXY
40079,GALAXY
83752,QSO
77748,GALAXY
67537,GALAXY
72059,GALAXY
11402,QSO
57632,GALAXY
10512,QSO
53517,QSO
72388,QSO
37612,GALAXY
88730,GALAXY
84737,QSO
30543,GALAXY
