u,g,r,i,z,redshift
21.47497,19.33962,17.84562,17.31222,17.02859,0.2741653
23.02545,22.42909,21.63512,20.88041,20.62373,0.7035329
22.06406,21.70035,21.50151,21.06623,20.7508,1.622738
25.6452,22.22848,20.87644,19.65642,18.8751,0.0001205526
18.97706,18.61201,18.77608,18.96122,19.25596,0.0001203733
22.06407,21.56794,21.39295,21.64214,21.00022,0.0002093019
24.4755,23.65812,21.71373,20.58859,19.83726,0.6279845
20.07112,18.1549,17.229,16.79999,16.49363,0.08595665
21.68134,20.46096,19.96844,19.834,19.80662,-0.0001826745
21.36678,19.30596,18.49742,18.17985,18.08701,-9.051034e-05
19.75954,17.93701,16.91241,16.45546,16.08946,0.1056016
20.70454,19.57728,19.12457,18.92777,18.88425,-0.0002954229
22.01985,20.39446,19.71366,19.85535,19.37761,-1.644046e-05
21.51138,20.77258,20.82375,20.60209,20.28123,2.247308
21.56722,20.93619,19.88534,19.18481,19.18379,0.469937
22.23088,20.61682,18.85413,18.22739,17.80509,0.3316674
20.32858,20.20941,19.96814,19.77714,20.04412,1.480837
19.41064,18.22267,17.72899,17.55665,17.51316,-0.0001206938
23.86625,21.05095,19.26387,18.59569,18.16427,0.3493208
24.56727,22.14395,20.58974,19.64929,19.46713,0.4940378
25.70054,22.21337,21.7453,21.58616,21.35699,-0.0008864952
24.01784,21.05403,20.66391,20.48478,20.52376,-0.001023014
23.65933,21.47657,19.62419,18.9115,18.54253,0.4147052
22.89382,22.13311,21.74633,21.63373,21.32352,-0.0004739041
22.2828,22.36747,21.86723,21.03674,21.38266,0.7538195
22.6404,22.36474,20.10578,19.09216,18.64351,0.5216708
19.27304,17.27488,16.37395,15.95327,15.65024,0.07416106
21.65327,21.49999,21.42463,21.13627,21.36895,1.989355
24.77769,23.08227,21.16983,19.04558,17.81601,-2.11716e-05
22.22861,21.80352,21.57803,21.50568,21.6751,2.272849
19.69327,19.28817,20.10259,19.36813,21.97881,0.06713071
21.36432,20.75983,20.33591,20.08413,19.76119,2.174662
21.20808,21.39388,20.94237,20.86316,20.77545,1.427635
20.03793,19.07524,18.75055,18.62634,18.55392,-0.0006889648
19.17278,17.72336,17.0171,16.64452,16.40273,0.09106731
24.21257,22.0378,20.27382,19.23645,18.6995,0.5311224
24.81982,22.68021,22.02293,21.58872,21.34167,0.766896
23.21219,22.85005,22.56158,22.75735,21.5073,0.9768472
19.55094,19.24385,19.1443,18.90485,18.79194,1.76566
18.35116,17.35864,17.03799,16.88536,16.86784,-0.0004687368
24.54432,21.95151,21.75772,21.68584,21.5344,0.1378741
22.15303,21.36482,21.35316,21.35646,21.42334,1.529055
19.11428,17.95038,18.15441,18.25421,18.42889,-0.0001922881
22.83508,20.96155,19.10313,18.44668,18.05832,0.3503931
21.78266,19.8293,18.24477,17.674,17.32177,0.2909426
22.35955,20.16151,18.55755,17.97276,17.58095,0.2634244
22.31822,22.11313,20.31895,19.32791,18.66193,0.5572543
17.88763,16.73364,16.368,16.21447,16.19991,2.255719e-05
20.18561,19.63915,19.40126,18.97188,18.84737,1.742435
24.0771,22.45715,20.8635,19.79836,19.4275,0.6041532
22.19796,21.26424,19.79591,18.638,18.17017,0.5740359
22.28133,21.98829,21.78383,21.18588,21.3882,0.9079855
20.34093,19.97766,20.0282,19.7221,19.74377,0.5552664
20.52922,20.10665,19.64214,19.57725,19.52622,1.252568
21.8687,21.66479,21.63461,21.50777,20.94201,2.638355
19.70991,17.27878,16.13791,15.62179,15.28373,-0.0002143927
21.27571,20.50779,20.42731,20.51716,20.07375,2.44313
20.62783,19.10268,18.43904,18.17324,18.03541,4.655307e-05
20.36909,18.00827,16.67532,16.15188,15.79579,0.2097916
24.44385,21.60768,21.27736,21.00416,20.76878,-0.0003755809
22.8967,22.34168,21.07421,19.99664,19.61734,0.6562565
16.76445,15.56251,15.04898,14.81996,14.72762,-3.460271e-05
21.76257,21.51099,21.57691,21.49536,21.85623,1.67555
24.08666,21.9165,20.6386,19.81431,19.63061,0.544162
19.96876,18.70417,18.37271,18.24714,18.13821,-0.0005020152
22.09118,20.00525,18.45928,17.86487,17.50286,0.281524
24.29354,21.3085,20.86474,20.58683,20.93946,7.186886e-05
24.56202,21.18474,19.20832,18.61025,18.1112,0.3666382
17.83675,16.47523,15.76558,15.36678,15.1059,0.07627679
24.2874,25.1722,21.60317,20.48019,19.71193,0.6149455
23.63472,21.97066,20.15499,19.27945,18.83452,0.5503112
21.81457,19.83219,18.95993,18.60217,18.38384,-0.0002097015
21.78729,21.65191,21.16304,21.2502,21.29008,1.025845
24.56335,22.66084,21.37833,20.06917,19.38736,1.626371e-05
23.1917,22.02493,22.40908,22.0695,21.84484,0.05677973
19.30913,18.25039,17.83191,17.51078,17.37787,0.102704
22.00407,21.84242,21.43292,21.58932,21.53514,1.013489
21.70289,20.45407,19.88827,19.74105,19.61316,-0.0004058883
22.745,21.80729,21.09129,20.12921,19.56922,0.8226723
22.5668,21.74422,21.01115,20.73614,20.6317,0.0001546263
23.54873,20.77683,19.20129,18.22792,17.64319,0.0002511565
24.1123,21.62173,20.25473,19.18554,18.54649,0.584752
22.33454,22.41545,20.41175,19.37686,18.70388,0.5635497
18.35733,17.16712,17.07207,17.0428,17.04027,-0.001119261
22.32532,21.68707,21.38693,21.47411,21.85972,0.0004704389
22.50828,21.96823,20.26561,19.31797,19.00439,0.4861717
19.36265,19.34971,19.50668,19.63066,19.93931,0.02205117
26.07294,22.66759,21.74916,20.31135,19.7616,0.5618828
24.57772,22.62903,20.92822,20.10227,19.59758,0.4623191
19.16273,17.5851,16.94737,16.69624,16.69837,-0.0003724483
24.06137,21.51291,21.22785,21.12743,21.48909,1.457828
25.65425,23.36443,21.91443,20.62617,20.08386,0.5690988
23.01763,21.58232,20.39507,19.62419,19.20025,0.5908147
21.20727,21.00056,21.14682,20.90452,20.87094,1.710504
21.09957,20.17999,19.80735,19.68757,19.39418,2.48625
26.02178,23.21529,21.36958,20.19187,19.87809,0.5684651
17.16228,15.6566,15.00941,14.77103,14.63146,-4.984491e-05
24.95381,25.11718,21.83791,20.68073,19.97835,0.5957176
22.92009,21.42718,21.33765,21.19082,20.68214,-0.0001666212
22.84339,22.33982,21.34591,20.37825,19.91191,0.6133028
19.26368,18.32417,17.97851,17.82436,17.7638,-0.0004118058
21.77949,21.56066,21.32006,21.52008,21.00662,1.374106
19.67771,18.32161,17.65164,17.25918,17.03867,0.09951608
21.18909,21.00308,20.53871,20.13892,20.30639,1.556418
23.0623,21.5623,19.85647,18.96071,18.41523,0.5130359
22.22432,20.55718,18.6977,18.03509,17.5838,0.3848203
23.22903,21.92584,20.35492,19.50769,19.07169,0.52245
20.0077,19.11468,18.99993,18.97975,19.05787,-1.202397e-05
21.55735,20.87421,20.87555,20.96168,20.76839,2.472279
21.75077,19.62202,18.77551,18.42305,18.2337,9.817035e-05
21.89111,21.20656,21.24359,20.98172,20.49503,2.418288
20.19355,18.19442,17.25443,16.81067,16.49772,0.07901111
20.31156,18.17119,17.1453,16.68867,16.3546,0.09473073
19.50603,18.1832,17.3951,16.98009,16.71305,0.1406727
20.57366,18.73761,17.67833,17.20526,16.85354,0.1520742
19.98919,19.06738,18.72848,18.61398,18.5338,9.912158e-06
21.31546,20.19715,19.86829,19.73633,19.68131,-3.718848e-05
23.75597,23.39008,21.35092,20.27763,19.57721,0.5243129
24.63444,22.09975,20.07194,19.14002,19.52548,0.1966482
23.96784,23.21072,21.88633,20.51173,19.78994,-0.0001744965
22.63272,22.10787,20.25079,19.22424,18.71454,4.637813
20.30937,18.36324,17.23218,16.80921,16.45069,0.1409608
21.95938,21.72848,21.01264,20.37739,19.95506,1.59449
22.49445,21.46267,21.16519,21.05399,20.83143,-0.0003420493
22.89215,21.3543,21.10732,21.0846,20.39156,2.475026
20.52078,18.97239,18.38138,18.15856,18.06471,3.822606e-05
21.38253,20.72523,20.47596,20.24458,20.18795,6.048401e-05
21.53761,21.70052,20.98969,20.47893,19.43392,0.8329123
19.75819,18.7078,18.67179,18.70583,18.76199,-0.0001999024
21.73829,21.23678,21.11382,20.73518,20.61263,1.717376
23.40267,22.89448,21.25626,20.1286,19.55411,0.6223869
18.69104,17.23382,16.50933,16.10555,15.81536,0.07164557
19.44579,18.28369,17.57546,17.19144,16.93102,0.1697423
23.6836,21.33062,19.86465,18.97487,18.5842,0.5806311
21.62692,20.54508,20.34766,20.26012,19.99664,-0.0003368745
21.01078,18.59482,17.38778,16.90255,16.58565,0.1658675
21.6317,21.43297,21.28151,21.03372,20.47088,1.569781
18.2758,17.23228,16.8412,16.55753,16.3972,0.06128093
24.71954,24.15323,21.09079,19.84014,19.48391,0.5259452
20.53898,19.89772,19.76019,19.74434,19.48177,2.289615
19.55376,19.40902,19.33682,19.26418,19.31199,1.420591
22.98673,23.28412,21.5176,20.3628,19.90906,0.6955557
18.94491,17.3442,16.41575,15.97212,15.60449,0.09491116
22.52648,21.72965,19.94352,19.02792,18.54956,0.486257
23.86599,20.48243,18.7199,18.04793,17.63891,0.3943297
25.06767,22.56372,20.38164,19.35408,18.89597,0.5250177
19.9147,17.96974,17.01513,16.59737,16.22556,0.1102621
21.48426,21.25546,21.17286,20.66929,20.86014,1.714263
21.31598,20.75582,20.46591,20.46996,20.14912,2.408766
20.39679,18.92964,17.91632,17.38595,16.99046,0.1658511
22.9504,21.02224,19.53158,18.20761,17.45096,6.504338e-05
21.14628,20.45709,20.07921,20.01343,19.87001,-0.0008375383
24.47907,22.02408,20.13067,19.14253,18.63603,0.4949788
24.5924,20.56212,18.65239,18.02737,17.69397,0.3967165
22.82966,20.78215,19.44393,18.91983,18.59818,-0.0005235042
23.55474,25.254,21.76048,20.61782,19.30822,0.8435179
23.67547,22.77434,20.85076,19.79272,19.20878,0.5609897
24.76177,22.55116,20.75625,19.70957,19.14613,0.5156156
24.4444,22.14621,21.33159,20.64761,20.60081,0.7195217
20.59155,18.62993,17.54036,16.99957,16.5724,0.1182673
19.16419,17.78516,17.0361,16.60596,16.23359,0.08712535
25.52104,22.52301,21.63608,21.16146,21.28322,-0.0005469107
19.30131,17.77498,16.79924,16.32503,15.93914,0.1340501
24.58761,21.87643,20.11168,19.24465,18.88701,0.4729118
20.87429,19.68163,19.63706,19.54681,19.34645,0.000302405
21.7035,21.22275,19.86487,19.05108,18.59481,0.5433645
21.62098,21.23933,20.67369,20.48288,20.33897,1.2824
23.66354,24.46206,22.2335,20.68686,19.62667,0.8558456
19.60608,17.61985,16.65821,16.19464,15.83488,0.07445138
19.88565,18.51455,17.94921,17.68686,17.37323,0.04817027
24.16916,24.35673,24.09609,22.18612,22.66764,0.8795134
20.22604,19.14868,18.73798,18.60923,18.55737,-0.0001772574
18.08705,18.36015,18.86739,19.18679,19.5366,-0.0002757275
26.54607,26.2645,21.6058,20.54488,19.49589,0.833216
21.36114,19.60995,18.83939,18.48038,18.24478,-0.0002360464
25.43227,22.05915,20.61387,19.62329,19.23415,0.53859
20.66458,20.24636,20.26562,20.20616,19.84199,0.7122676
19.20576,17.88777,17.27874,16.93298,16.72875,0.08199026
21.8248,19.79241,18.27442,17.68424,17.30045,0.2929134
22.4486,20.0031,18.47254,17.89788,17.51457,0.2743312
22.26384,21.12325,19.24371,18.54872,18.01865,0.3785307
25.3335,22.02733,20.24579,19.30918,18.73928,0.5112805
18.90505,16.36491,15.38158,15.03201,14.80634,-0.0002044134
18.81441,17.65703,17.20936,16.9327,16.74375,0.05471752
20.61354,19.3411,18.71845,18.45744,18.33805,-5.217267e-05
22.67167,23.01498,22.26526,21.92492,21.11477,0.7729975
25.13112,21.99006,20.20992,19.34442,18.64514,0.559729
20.89581,20.22679,19.25845,18.84204,18.48117,0.3958131
21.62875,22.01602,21.64523,21.42995,21.04649,1.290718
21.18572,20.58001,20.36285,20.21631,19.78285,2.485766
22.87098,23.92314,21.74533,20.60539,19.51487,0.875224
19.17251,18.07444,17.71897,17.5591,17.52561,-0.0008412612
22.02661,20.35802,20.08123,19.9645,19.86757,3.001825
16.53652,15.34539,14.90063,14.71437,14.66721,-5.808377e-05
22.79824,21.57221,19.9447,18.85726,18.26699,0.5107913
19.44233,17.35152,16.38066,15.95134,15.67831,0.08297937
21.3826,21.95429,20.81753,19.78224,19.69062,0.7154475
25.5926,24.46177,22.11633,20.96582,19.9337,0.7780731
21.97766,20.8559,20.56203,21.12937,20.46673,-0.0007484645
22.23545,22.49881,21.60938,21.09674,20.33704,0.875456
21.20545,21.02925,20.79698,20.53127,20.17835,1.411363
18.88451,17.79866,17.33333,17.02881,16.84475,0.1040311
19.61006,18.40943,17.64686,17.2028,16.95466,0.1703981
25.74082,22.78786,21.21276,20.34565,19.96156,0.525834
20.57518,18.82702,18.11287,17.83823,17.62728,-0.0001360437
22.10769,20.38561,19.92475,19.89923,19.7915,-0.0006147974
22.3891,21.70605,20.54101,19.6912,19.25866,0.5694553
24.88452,22.22212,21.86167,20.82744,20.39569,0.9984043
22.11853,20.53605,19.94238,19.77167,19.66361,-0.0001243826
23.27057,21.98715,20.30441,19.26013,18.66998,0.5637841
21.42428,18.74568,17.38371,16.06286,15.3525,2.770532e-05
23.29629,21.4312,21.11258,21.10778,20.77167,0.001169006
19.39356,17.8871,16.98359,16.57105,16.27382,0.1470969
24.63919,22.02176,21.0745,20.74825,20.61643,0.5140514
22.94659,22.38286,20.30179,19.12952,18.53554,0.6112036
24.3242,18.71759,17.2268,16.73841,16.38899,0.1106213
23.77843,21.02209,21.08727,19.77578,20.12271,-0.0001959359
23.09735,23.72045,21.88368,20.30001,19.42577,0.8680495
19.37855,19.42129,19.71278,19.94348,20.27869,3.116142e-05
19.15137,18.29756,18.06489,17.98998,17.98144,0.0001305136
23.37521,22.24972,21.41442,20.99492,20.49015,0.8367069
24.05611,22.25161,20.73459,19.73311,19.30073,0.5797541
21.35263,21.35699,21.02023,21.07883,20.93388,1.193129
21.73418,21.36277,20.4554,19.63494,19.26222,0.6415855
24.43781,23.18696,21.23749,20.23678,19.50791,0.5883757
22.82294,22.05183,21.63753,20.78729,20.4732,0.7223533
21.59176,21.93992,21.40401,21.46434,22.25482,1.280998
20.05637,19.72837,19.85414,19.76092,19.67964,0.6868518
19.02119,17.74864,17.20038,16.89758,16.7015,0.04508417
22.53375,21.72874,21.59609,21.53204,20.89376,2.271338
19.10865,17.73293,17.05034,16.69503,16.40265,0.1313061
20.41029,19.28517,18.80697,18.55428,18.42291,5.427984e-05
18.83049,17.72406,17.29153,17.04842,17.02888,0.02342081
21.17464,19.63073,18.19015,17.63505,17.30069,0.2470761
22.4716,20.47159,19.25569,18.7224,18.34871,0.2662241
21.72948,21.40985,20.22476,19.47882,18.83639,0.2179424
21.6599,21.63316,20.48885,19.76757,19.25684,0.5910573
23.18165,21.99882,20.33501,19.49131,19.17266,0.470364
22.16016,21.30372,20.73286,20.3395,19.99422,1.59681
19.34577,17.6759,17.06086,16.88139,16.75371,8.538944e-05
26.49024,23.39319,21.3808,20.14326,19.55099,0.6212654
24.62157,21.45333,19.66073,18.85231,18.13633,0.4354195
23.96955,22.51326,22.16433,21.43057,20.72213,0.8758625
19.9563,17.948,16.92694,16.46342,16.13398,0.1189004
23.77297,22.10828,20.28441,19.72053,19.24293,0.369535
22.74848,20.64638,18.79506,18.14204,17.66581,0.4194422
24.63466,22.99772,21.59383,20.43518,21.52756,0.00026257
22.363,20.44463,18.83406,18.19682,17.74433,0.2783912
17.05851,16.05679,15.68268,15.53729,15.4933,-0.0005153611
19.5342,16.46161,15.224,14.69416,14.47134,-0.000144458
19.85949,18.89561,18.53946,18.39676,18.36995,-0.0008213919
19.83262,18.65488,18.53173,18.50798,18.49038,-7.605205e-05
20.57558,19.68882,19.39788,19.25184,19.22948,-0.0001474378
21.70119,20.9444,20.86081,20.7971,20.91584,-0.0005028897
23.27936,22.55548,20.80776,19.6827,19.24508,0.5830455
21.04755,20.91825,20.62874,20.58599,20.40252,0.9303405
22.16064,21.76312,20.97917,20.52853,20.34388,0.5250378
21.64515,20.98565,20.76657,20.68678,20.52269,-0.0005703279
19.81071,18.54854,18.08018,17.80391,17.67684,0.03272734
19.65027,19.35303,19.29736,19.06938,19.19285,1.637306
24.33911,21.73989,20.16364,19.11879,18.63678,0.5152197
22.50203,23.79187,20.96021,19.66522,18.9437,-0.0004843995
20.67707,19.52469,19.20095,19.09281,19.10504,-0.0008083924
22.28694,21.64866,20.10812,19.02977,18.61288,0.5330033
20.71162,18.87128,17.72064,17.2087,16.82994,0.1608569
21.32992,21.084,20.86621,20.63932,20.18265,0.7165067
25.31954,22.39381,20.69354,19.58007,19.32727,0.5626863
21.7858,21.22543,21.12646,20.85533,20.84421,1.571076
22.9161,22.09029,21.58207,21.52661,21.00894,0.8521381
24.38011,22.48429,20.65672,19.59943,18.91966,0.5679969
25.72351,22.59306,20.98064,19.71956,19.1589,0.6274288
20.2137,19.22487,18.87762,18.71174,18.60709,-0.001159925
21.01536,18.24506,17.20407,16.70522,16.39409,-1.931725e-05
25.23901,21.51457,20.13188,19.39405,18.97331,0.4737474
23.52977,22.45349,22.21804,21.49356,22.18221,1.426388
22.464,21.91114,21.80982,21.83537,21.90019,2.870637
25.83474,25.46556,23.50059,22.0768,21.32865,0.6311985
22.60763,22.6793,20.63825,19.43102,18.88878,0.589099
22.78939,22.73878,22.47913,21.62118,21.5158,1.008496
21.05983,18.68608,17.38831,16.90066,16.53508,0.1786572
23.15264,23.15546,21.09584,19.92778,19.49394,0.5955216
24.71894,20.2879,18.49829,17.70368,17.33026,0.4099874
18.08387,17.79431,18.03461,17.85436,17.85242,0.52263
21.86539,19.64826,18.0769,17.53853,17.21525,0.2656976
19.67365,18.67961,17.74898,17.29023,16.94318,0.1585015
22.91869,23.208,22.52645,20.75253,19.8848,0.7921287
19.5858,18.38436,17.55639,17.18899,16.88004,0.05983328
19.53045,18.66833,18.44507,18.44213,18.42244,0.0
25.49242,23.73986,21.57303,20.28648,19.42949,0.7173058
25.04705,20.99556,20.7576,20.52084,19.67773,-0.0002214399
22.88775,21.43339,21.17536,20.44107,19.73305,0.000318355
20.54296,19.75757,19.36625,19.22388,18.80315,0.8915517
20.37624,18.30447,17.27516,16.83008,16.44302,0.1158944
21.97099,21.53234,21.48468,21.37079,21.46148,2.691501
20.15149,19.9017,19.69132,19.48174,19.42623,1.525616
26.54679,22.25296,20.54602,19.4958,19.22546,0.5296857
21.81887,21.29002,19.404,18.76603,18.36079,0.3079669
26.02495,25.08069,22.07399,20.70012,19.83272,0.6382685
20.39901,18.59985,17.67891,17.26469,16.94553,0.1015755
21.24929,21.18772,21.00496,20.76044,20.73301,1.208026
18.83149,17.37235,16.79265,16.47629,16.33742,0.06042482
22.24144,21.79278,21.53676,21.46934,21.70584,2.114547
24.97099,22.44521,20.7088,19.74561,19.39458,0.4996893
24.20759,25.01221,21.82784,20.35639,19.56502,0.7895327
18.45278,17.53133,17.222,17.00956,16.88108,0.04083819
19.73928,17.90483,16.6659,16.15548,15.78487,0.1620437
23.42039,22.29738,20.65834,19.49298,18.89467,-3.46657e-05
23.0273,21.76532,20.55106,19.64118,19.50464,0.6678466
19.94085,18.18117,17.17754,16.75606,16.42237,0.1562323
25.88058,20.78216,19.08945,18.46389,18.09499,0.3560749
26.33432,21.76559,19.91477,18.92928,18.45884,0.4941626
25.82562,21.64657,20.58143,19.69206,19.36967,0.5288443
21.46057,19.51935,17.99477,17.46057,17.08468,0.2528246
24.99177,22.10297,20.91855,19.95472,19.65617,0.5263216
19.66832,18.1416,17.31254,16.86344,16.52042,0.08057069
22.98163,21.99861,20.56572,19.43258,18.85777,0.6066628
21.76175,21.21427,20.55766,20.14049,19.66018,0.5013586
23.52117,21.91371,20.89524,20.15612,19.99082,0.5382009
23.29341,23.31494,21.65082,20.44964,19.77309,0.6067832
22.1603,20.08693,18.4946,17.87351,17.47079,0.2738388
23.11098,22.69147,20.64519,19.70775,19.40864,0.0
20.64039,20.38883,20.22452,19.93726,19.73756,1.962287
22.73998,20.02231,18.39417,17.76149,17.40267,0.3170241
20.39412,20.42342,20.23971,20.03336,20.15339,1.515939
22.63328,21.32539,19.3889,18.64028,18.12847,0.3931018
23.95127,21.92217,20.56262,19.89924,19.42448,0.2667221
21.52618,19.78715,18.28741,17.71965,17.34492,0.2523437
18.29444,17.06211,16.46675,16.0737,15.85012,0.09773779
19.70158,18.29614,17.63238,17.24986,17.06642,0.04008507
22.91736,22.55185,20.78084,19.67491,19.25222,0.6373888
20.44508,18.56787,17.53755,17.00813,16.60409,0.1917373
19.26751,18.06564,17.4478,17.03432,16.80926,0.08727421
22.27924,21.05017,19.46542,18.6525,18.25896,0.4327244
24.44504,20.94961,19.24491,18.56964,18.22492,0.0003329574
25.66216,21.68633,20.17315,19.41205,19.03332,0.3472793
19.90486,18.07086,17.447,17.16217,17.04972,-1.457962e-05
21.561,19.33907,17.96348,17.44706,17.09969,0.215663
22.54866,22.47837,22.13766,22.20578,22.74588,1.663773
24.10843,22.92816,22.43525,23.12977,21.85762,0.5595368
20.57059,18.32953,17.38888,17.0371,16.83745,0.0001225384
22.55365,22.34595,22.2691,21.12546,20.61543,0.798831
19.06705,17.38811,16.49032,16.04983,15.71104,0.1197011
23.741,22.18514,21.62507,21.55929,21.74636,0.3021886
22.43482,21.32362,19.99859,19.25812,18.91983,0.0
21.53188,20.90507,20.72974,20.6749,20.29059,-0.001043411
22.02428,20.96778,20.26864,20.03307,19.95238,-0.0001172131
23.44485,22.64346,21.04029,19.98563,20.08287,-0.0001331607
24.28022,20.90658,19.22605,18.5532,18.14248,0.3903845
24.8727,24.60475,22.82485,19.8998,18.28236,7.933064e-05
25.91698,22.90931,21.15655,20.01778,19.65261,0.5362477
19.34142,17.8031,16.90739,16.47969,16.14728,0.1197249
22.52796,21.85613,20.45302,19.45912,19.13505,0.5198569
23.22112,22.53476,21.93673,21.49217,21.35966,0.7324173
23.58019,21.44632,19.66646,18.91193,18.51394,0.3829975
20.18325,19.74724,19.5114,19.49987,19.36248,0.868198
22.94425,21.02357,19.17473,18.53566,18.01392,0.3764989
16.2158,14.77393,14.17668,13.86373,13.6272,0.0324478
18.65656,16.88788,16.02438,15.62775,15.31656,0.0793496
22.58186,21.81152,20.17187,19.15991,18.59015,0.5043337
21.264,21.10024,20.98693,20.92814,20.80117,0.8967028
22.35016,20.55255,18.91286,18.31039,17.91993,0.3061036
21.06137,19.35408,18.44954,18.04049,17.71312,0.07617098
22.48779,20.35664,18.5137,17.78942,17.36222,0.3949517
21.42401,19.8392,19.62078,19.44525,19.24398,2.777782
22.09443,21.42,21.15287,21.19928,20.75213,0.8014306
20.26569,19.46337,18.91013,18.60584,18.37482,0.2477123
22.72404,21.8899,20.41818,19.51414,19.18636,0.5428726
21.80192,22.53697,21.64649,20.96128,20.31525,1.226625
20.41403,17.71247,16.32878,15.37177,14.88071,-1.517753e-05
20.83582,20.60946,20.4536,20.649,20.71405,1.0027
22.66813,23.04838,21.98325,21.8001,22.30957,0.9027113
19.5162,19.23492,19.1226,18.93254,18.89949,1.565279
22.51552,23.07937,22.29354,21.99715,21.45492,0.9714469
22.65008,22.33999,20.86066,19.57946,19.184,0.5986211
23.65257,23.76629,22.90933,22.02259,21.35769,0.7244605
21.24376,20.50335,20.26958,20.32641,20.12012,2.510987
22.60084,22.04168,21.74419,21.20209,20.51284,0.9285375
