,class
469,STAR
470,STAR
471,GALAXY
472,GALAXY
473,STAR
474,STAR
475,GALAXY
476,STAR
477,GALAXY
478,GALAXY
479,GALAXY
480,STAR
481,GALAXY
482,QSO
483,GALAXY
484,STAR
485,STAR
486,GALAXY
487,GALAXY
488,STAR
489,GALAXY
490,GALAXY
491,GALAXY
492,QSO
493,STAR
494,QSO
495,STAR
496,GALAXY
497,STAR
498,GALAXY
499,GALAXY
500,STAR
501,STAR
502,GALAXY
503,STAR
504,GALAXY
505,GALAXY
506,STAR
507,GALAXY
508,GALAXY
509,GALAXY
510,GALAXY
511,GALAXY
512,GALAXY
513,GALAXY
514,STAR
515,GALAXY
516,GALAXY
517,GALAXY
518,GALAXY
519,STAR
520,QSO
521,QSO
522,GALAXY
523,STAR
524,GALAXY
525,GALAXY
526,GALAXY
527,GALAXY
528,GALAXY
529,GALAXY
530,STAR
531,QSO
532,GALAXY
533,GALAXY
534,QSO
535,GALAXY
536,STAR
537,GALAXY
538,QSO
539,GALAXY
540,QSO
541,STAR
542,QSO
543,GALAXY
544,GALAXY
545,STAR
546,GALAXY
547,GALAXY
548,STAR
549,GALAXY
550,QSO
551,GALAXY
552,GALAXY
553,QSO
554,GALAXY
555,GALAXY
556,STAR
557,QSO
558,GALAXY
559,GALAXY
560,GALAXY
561,STAR
562,GALAXY
563,GALAXY
564,GALAXY
565,GALAXY
566,STAR
567,QSO
568,GALAXY
569,GALAXY
570,GALAXY
571,STAR
572,QSO
573,GALAXY
574,GALAXY
575,QSO
576,QSO
577,GALAXY
578,GALAXY
579,GALAXY
580,GALAXY
581,STAR
582,STAR
583,STAR
584,GALAXY
585,GALAXY
586,GALAXY
587,QSO
588,GALAXY
589,STAR
590,QSO
591,QSO
592,QSO
593,GALAXY
594,STAR
595,GALAXY
596,STAR
597,STAR
598,GALAXY
599,GALAXY
600,STAR
601,GALAXY
602,GALAXY
603,GALAXY
604,GALAXY
605,GALAXY
606,GALAXY
607,STAR
608,GALAXY
609,STAR
610,QSO
611,QSO
612,GALAXY
613,GALAXY
614,GALAXY
615,GALAXY
616,GALAXY
617,QSO
618,GALAXY
619,STAR
620,QSO
621,GALAXY
622,GALAXY
623,GALAXY
624,GALAXY
625,GALAXY
626,GALAXY
627,STAR
628,STAR
629,GALAXY
630,STAR
631,GALAXY
632,STAR
633,GALAXY
634,GALAXY
635,STAR
636,GALAXY
637,STAR
638,GALAXY
639,QSO
640,GALAXY
641,GALAXY
642,GALAXY
643,STAR
644,STAR
645,QSO
646,GALAXY
647,GALAXY
648,STAR
649,GALAXY
650,QSO
651,GALAXY
652,STAR
653,GALAXY
654,QSO
655,GALAXY
656,GALAXY
657,GALAXY
658,STAR
659,GALAXY
660,QSO
661,STAR
662,QSO
663,GALAXY
664,GALAXY
665,QSO
666,GALAXY
667,GALAXY
668,GALAXY
669,GALAXY
670,GALAXY
671,QSO
672,GALAXY
673,GALAXY
674,GALAXY
675,GALAXY
676,GALAXY
677,GALAXY
678,GALAXY
679,GALAXY
680,STAR
681,STAR
682,GALAXY
683,GALAXY
684,STAR
685,GALAXY
686,GALAXY
687,STAR
688,QSO
689,STAR
690,GALAXY
691,GALAXY
692,GALAXY
693,GALAXY
694,QSO
695,GALAXY
696,GALAXY
697,QSO
698,QSO
699,GALAXY
700,GALAXY
701,GALAXY
702,QSO
703,STAR
704,GALAXY
705,STAR
706,GALAXY
707,STAR
708,STAR
709,STAR
710,STAR
711,STAR
712,STAR
713,STAR
714,STAR
715,QSO
716,STAR
717,QSO
718,STAR
719,GALAXY
720,GALAXY
721,QSO
722,QSO
723,QSO
724,GALAXY
725,GALAXY
726,STAR
727,GALAXY
728,STAR
729,GALAXY
730,GALAXY
731,GALAXY
732,STAR
733,GALAXY
734,GALAXY
735,QSO
736,STAR
737,GALAXY
738,GALAXY
739,QSO
740,QSO
741,QSO
742,GALAXY
743,QSO
744,GALAXY
745,STAR
746,GALAXY
747,GALAXY
748,GALAXY
749,GALAXY
750,QSO
751,QSO
752,STAR
753,GALAXY
754,GALAXY
755,GALAXY
756,GALAXY
757,GALAXY
758,GALAXY
759,GALAXY
760,STAR
761,GALAXY
762,STAR
763,GALAXY
764,STAR
765,GALAXY
766,GALAXY
767,GALAXY
768,GALAXY
769,GALAXY
770,STAR
771,GALAXY
772,STAR
773,GALAXY
774,QSO
775,QSO
776,GALAXY
777,GALAXY
778,GALAXY
779,GALAXY
780,GALAXY
781,GALAXY
782,QSO
783,QSO
784,GALAXY
785,STAR
786,GALAXY
787,STAR
788,GALAXY
789,STAR
790,GALAXY
791,QSO
792,GALAXY
793,GALAXY
794,GALAXY
795,STAR
796,GALAXY
797,GALAXY
798,STAR
799,STAR
800,STAR
801,GALAXY
802,GALAXY
803,GALAXY
804,STAR
805,GALAXY
806,QSO
807,QSO
808,GALAXY
809,GALAXY
810,QSO
811,GALAXY
812,QSO
813,QSO
814,STAR
815,GALAXY
816,GALAXY
817,GALAXY
818,GALAXY
819,STAR
820,GALAXY
821,QSO
822,QSO
823,STAR
824,QSO
825,STAR
826,QSO
827,QSO
828,GALAXY
829,GALAXY
830,QSO
831,QSO
832,GALAXY
833,STAR
834,GALAXY
835,GALAXY
836,GALAXY
837,STAR
838,GALAXY
839,QSO
840,GALAXY
841,GALAXY
842,GALAXY
843,GALAXY
844,STAR
845,GALAXY
846,GALAXY
847,QSO
848,GALAXY
849,QSO
850,STAR
851,GALAXY
852,STAR
853,GALAXY
854,STAR
855,GALAXY
856,GALAXY
857,GALAXY
858,GALAXY
859,GALAXY
860,STAR
861,GALAXY
862,GALAXY
863,GALAXY
864,STAR
865,STAR
866,QSO
867,QSO
868,STAR
869,STAR
870,GALAXY
871,STAR
872,STAR
873,STAR
874,GALAXY
875,GALAXY
876,GALAXY
877,GALAXY
878,QSO
879,QSO
880,STAR
881,GALAXY
882,QSO
883,STAR
884,GALAXY
885,QSO
886,GALAXY
887,GALAXY
888,STAR
889,STAR
890,QSO
891,STAR
892,GALAXY
893,QSO
894,STAR
895,GALAXY
896,GALAXY
897,STAR
898,GALAXY
899,GALAXY
900,GALAXY
901,GALAXY
902,GALAXY
903,GALAXY
904,GALAXY
905,QSO
906,GALAXY
907,STAR
908,GALAXY
909,QSO
910,GALAXY
911,GALAXY
912,STAR
913,GALAXY
914,GALAXY
915,STAR
916,GALAXY
917,GALAXY
918,QSO
919,QSO
920,GALAXY
921,GALAXY
922,GALAXY
923,GALAXY
924,QSO
925,GALAXY
926,GALAXY
927,QSO
928,GALAXY
929,GALAXY
930,GALAXY
931,GALAXY
932,QSO
933,QSO
934,GALAXY
935,GALAXY
936,GALAXY
937,GALAXY
938,GALAXY
939,GALAXY
940,GALAXY
941,STAR
942,QSO
943,GALAXY
944,GALAXY
945,GALAXY
946,GALAXY
947,GALAXY
948,STAR
949,STAR
950,QSO
951,QSO
952,GALAXY
953,GALAXY
954,GALAXY
955,STAR
956,GALAXY
957,GALAXY
958,STAR
959,GALAXY
960,GALAXY
961,GALAXY
962,GALAXY
963,GALAXY
964,GALAXY
965,QSO
966,QSO
967,STAR
968,STAR
969,GALAXY
970,GALAXY
971,GALAXY
972,GALAXY
973,GALAXY
974,GALAXY
975,STAR
976,GALAXY
977,GALAXY
978,STAR
979,QSO
980,GALAXY
981,GALAXY
982,GALAXY
983,GALAXY
984,QSO
985,GALAXY
986,GALAXY
987,GALAXY
988,GALAXY
989,STAR
990,QSO
991,GALAXY
992,GALAXY
993,STAR
994,GALAXY
995,GALAXY
996,GALAXY
997,GALAXY
998,QSO
999,GALAXY
1000,GALAXY
1001,QSO
1002,GALAXY
1003,STAR
1004,GALAXY
1005,STAR
1006,GALAXY
1007,STAR
1008,QSO
1009,STAR
1010,STAR
1011,GALAXY
1012,GALAXY
1013,QSO
1014,QSO
1015,GALAXY
1016,QSO
1017,GALAXY
1018,GALAXY
1019,GALAXY
1020,STAR
1021,GALAXY
1022,GALAXY
1023,GALAXY
1024,STAR
1025,GALAXY
1026,STAR
1027,QSO
1028,GALAXY
1029,GALAXY
1030,GALAXY
1031,GALAXY
1032,QSO
1033,GALAXY
1034,GALAXY
1035,QSO
1036,STAR
1037,STAR
1038,STAR
1039,GALAXY
1040,GALAXY
1041,GALAXY
1042,STAR
1043,GALAXY
1044,GALAXY
1045,GALAXY
1046,GALAXY
1047,GALAXY
1048,GALAXY
1049,GALAXY
1050,GALAXY
1051,GALAXY
1052,GALAXY
1053,STAR
1054,GALAXY
1055,STAR
1056,GALAXY
1057,GALAXY
1058,STAR
1059,QSO
1060,GALAXY
1061,STAR
1062,QSO
1063,QSO
1064,STAR
1065,GALAXY
1066,QSO
1067,GALAXY
1068,GALAXY
1069,GALAXY
1070,STAR
1071,STAR
1072,STAR
1073,GALAXY
1074,GALAXY
1075,GALAXY
1076,STAR
1077,GALAXY
1078,GALAXY
1079,STAR
1080,GALAXY
1081,GALAXY
1082,GALAXY
1083,GALAXY
1084,GALAXY
1085,GALAXY
1086,GALAXY
1087,GALAXY
1088,STAR
1089,GALAXY
1090,GALAXY
1091,GALAXY
1092,STAR
1093,GALAXY
1094,STAR
1095,STAR
1096,GALAXY
1097,QSO
1098,GALAXY
1099,GALAXY
1100,GALAXY
1101,STAR
1102,STAR
1103,STAR
1104,GALAXY
1105,GALAXY
1106,GALAXY
1107,QSO
1108,GALAXY
1109,GALAXY
1110,GALAXY
1111,QSO
1112,GALAXY
1113,GALAXY
1114,GALAXY
1115,GALAXY
1116,STAR
1117,STAR
1118,QSO
1119,GALAXY
1120,GALAXY
1121,GALAXY
1122,GALAXY
1123,STAR
1124,QSO
1125,GALAXY
1126,GALAXY
1127,QSO
1128,GALAXY
1129,GALAXY
1130,GALAXY
1131,GALAXY
1132,QSO
1133,QSO
1134,GALAXY
1135,GALAXY
1136,STAR
1137,QSO
1138,STAR
1139,STAR
1140,QSO
1141,QSO
1142,STAR
1143,GALAXY
1144,GALAXY
1145,QSO
1146,QSO
1147,GALAXY
1148,STAR
1149,GALAXY
1150,QSO
1151,GALAXY
1152,GALAXY
1153,QSO
1154,STAR
1155,QSO
1156,QSO
1157,GALAXY
1158,GALAXY
1159,GALAXY
1160,GALAXY
1161,STAR
1162,QSO
1163,GALAXY
1164,STAR
1165,QSO
1166,GALAXY
1167,GALAXY
1168,QSO
1169,STAR
1170,QSO
1171,GALAXY
1172,QSO
1173,STAR
1174,GALAXY
1175,GALAXY
1176,GALAXY
1177,QSO
1178,GALAXY
1179,GALAXY
1180,GALAXY
1181,GALAXY
1182,GALAXY
1183,STAR
1184,GALAXY
1185,QSO
1186,QSO
1187,STAR
1188,QSO
1189,GALAXY
1190,STAR
1191,GALAXY
1192,GALAXY
1193,STAR
1194,STAR
1195,GALAXY
1196,QSO
1197,GALAXY
1198,GALAXY
1199,QSO
1200,QSO
1201,STAR
1202,GALAXY
1203,STAR
1204,GALAXY
1205,GALAXY
1206,QSO
1207,GALAXY
1208,GALAXY
1209,QSO
1210,GALAXY
1211,GALAXY
1212,GALAXY
1213,GALAXY
1214,QSO
1215,GALAXY
1216,GALAXY
1217,GALAXY
1218,QSO
1219,GALAXY
1220,QSO
1221,GALAXY
1222,QSO
1223,GALAXY
1224,STAR
1225,GALAXY
1226,GALAXY
1227,GALAXY
1228,GALAXY
1229,QSO
1230,STAR
1231,GALAXY
1232,STAR
1233,GALAXY
1234,GALAXY
1235,QSO
1236,STAR
1237,GALAXY
1238,QSO
1239,QSO
1240,GALAXY
1241,GALAXY
1242,QSO
1243,GALAXY
1244,STAR
1245,GALAXY
1246,STAR
1247,STAR
1248,GALAXY
1249,GALAXY
1250,GALAXY
1251,GALAXY
1252,GALAXY
1253,GALAXY
1254,GALAXY
1255,GALAXY
1256,GALAXY
1257,QSO
1258,QSO
1259,QSO
1260,QSO
1261,STAR
1262,GALAXY
1263,GALAXY
1264,GALAXY
1265,GALAXY
1266,STAR
1267,STAR
1268,GALAXY
1269,STAR
1270,GALAXY
1271,GALAXY
1272,STAR
1273,GALAXY
1274,GALAXY
1275,GALAXY
1276,QSO
1277,GALAXY
1278,GALAXY
1279,GALAXY
1280,GALAXY
1281,GALAXY
1282,GALAXY
1283,GALAXY
1284,STAR
1285,QSO
1286,STAR
1287,STAR
1288,GALAXY
1289,GALAXY
1290,STAR
1291,STAR
1292,GALAXY
1293,STAR
1294,GALAXY
1295,QSO
1296,STAR
1297,QSO
1298,STAR
1299,GALAXY
1300,QSO
1301,GALAXY
1302,GALAXY
1303,GALAXY
1304,QSO
1305,QSO
1306,QSO
1307,GALAXY
1308,QSO
1309,GALAXY
1310,STAR
1311,GALAXY
1312,GALAXY
1313,STAR
1314,GALAXY
1315,GALAXY
1316,GALAXY
1317,STAR
1318,STAR
1319,GALAXY
1320,GALAXY
1321,GALAXY
1322,GALAXY
1323,GALAXY
1324,QSO
1325,GALAXY
1326,GALAXY
1327,GALAXY
1328,GALAXY
1329,STAR
1330,GALAXY
1331,GALAXY
1332,GALAXY
1333,GALAXY
1334,STAR
1335,GALAXY
1336,GALAXY
1337,QSO
1338,GALAXY
1339,QSO
1340,QSO
1341,GALAXY
1342,QSO
1343,GALAXY
1344,QSO
1345,GALAXY
1346,GALAXY
1347,STAR
1348,GALAXY
1349,QSO
1350,STAR
1351,STAR
1352,GALAXY
1353,STAR
1354,GALAXY
1355,GALAXY
1356,QSO
1357,STAR
1358,GALAXY
1359,STAR
1360,GALAXY
1361,GALAXY
1362,GALAXY
1363,QSO
1364,QSO
1365,GALAXY
1366,GALAXY
1367,GALAXY
1368,QSO
1369,QSO
1370,STAR
1371,GALAXY
1372,GALAXY
1373,STAR
1374,GALAXY
1375,STAR
1376,STAR
1377,STAR
1378,GALAXY
1379,GALAXY
1380,GALAXY
1381,GALAXY
1382,GALAXY
1383,GALAXY
1384,STAR
1385,QSO
1386,QSO
1387,STAR
1388,QSO
1389,GALAXY
1390,STAR
1391,STAR
1392,GALAXY
1393,STAR
1394,STAR
1395,QSO
1396,GALAXY
1397,GALAXY
1398,STAR
1399,STAR
1400,STAR
1401,STAR
1402,QSO
1403,GALAXY
1404,QSO
1405,GALAXY
1406,GALAXY
1407,QSO
1408,GALAXY
1409,QSO
1410,GALAXY
1411,GALAXY
1412,GALAXY
1413,GALAXY
1414,GALAXY
1415,GALAXY
1416,STAR
1417,GALAXY
1418,QSO
1419,STAR
1420,GALAXY
1421,STAR
1422,STAR
1423,QSO
1424,GALAXY
1425,GALAXY
1426,QSO
1427,GALAXY
1428,GALAXY
1429,GALAXY
1430,QSO
1431,STAR
1432,GALAXY
1433,QSO
1434,GALAXY
1435,GALAXY
1436,QSO
1437,GALAXY
1438,GALAXY
1439,GALAXY
1440,QSO
1441,GALAXY
1442,QSO
1443,GALAXY
1444,GALAXY
1445,GALAXY
1446,STAR
1447,GALAXY
1448,GALAXY
1449,STAR
1450,GALAXY
1451,GALAXY
1452,GALAXY
1453,STAR
1454,GALAXY
1455,STAR
1456,QSO
1457,GALAXY
1458,GALAXY
1459,STAR
1460,GALAXY
1461,GALAXY
1462,GALAXY
1463,GALAXY
1464,STAR
1465,QSO
1466,GALAXY
1467,QSO
1468,GALAXY
1469,GALAXY
1470,QSO
1471,GALAXY
1472,QSO
1473,STAR
1474,GALAXY
1475,QSO
1476,STAR
1477,STAR
1478,STAR
1479,GALAXY
1480,GALAXY
1481,GALAXY
1482,STAR
1483,QSO
1484,QSO
1485,GALAXY
1486,QSO
1487,GALAXY
1488,GALAXY
1489,GALAXY
1490,STAR
1491,STAR
1492,QSO
1493,STAR
1494,GALAXY
1495,GALAXY
1496,GALAXY
1497,GALAXY
1498,STAR
1499,GALAXY
1500,QSO
1501,GALAXY
1502,GALAXY
1503,GALAXY
1504,GALAXY
1505,QSO
1506,GALAXY
1507,STAR
1508,GALAXY
1509,GALAXY
1510,STAR
1511,GALAXY
1512,GALAXY
1513,GALAXY
1514,GALAXY
1515,GALAXY
1516,GALAXY
1517,STAR
1518,GALAXY
1519,GALAXY
1520,GALAXY
1521,GALAXY
1522,STAR
1523,STAR
1524,GALAXY
1525,STAR
1526,GALAXY
1527,GALAXY
1528,GALAXY
1529,GALAXY
1530,STAR
1531,GALAXY
1532,GALAXY
1533,STAR
1534,STAR
1535,GALAXY
1536,QSO
1537,GALAXY
1538,GALAXY
1539,GALAXY
1540,GALAXY
1541,GALAXY
1542,GALAXY
1543,QSO
1544,STAR
1545,GALAXY
1546,QSO
1547,GALAXY
1548,GALAXY
1549,QSO
1550,GALAXY
1551,GALAXY
1552,GALAXY
1553,STAR
1554,GALAXY
1555,GALAXY
1556,GALAXY
1557,STAR
1558,STAR
1559,GALAXY
1560,GALAXY
1561,STAR
1562,QSO
1563,GALAXY
1564,QSO
1565,GALAXY
1566,GALAXY
1567,QSO
1568,GALAXY
1569,GALAXY
1570,GALAXY
1571,GALAXY
1572,GALAXY
1573,GALAXY
1574,QSO
1575,GALAXY
1576,STAR
1577,STAR
1578,STAR
1579,GALAXY
1580,GALAXY
1581,GALAXY
1582,STAR
1583,GALAXY
1584,GALAXY
1585,GALAXY
1586,GALAXY
1587,GALAXY
1588,QSO
1589,GALAXY
1590,STAR
1591,GALAXY
1592,QSO
1593,GALAXY
1594,GALAXY
1595,GALAXY
1596,GALAXY
1597,GALAXY
1598,GALAXY
1599,GALAXY
1600,QSO
1601,GALAXY
1602,STAR
1603,QSO
1604,GALAXY
1605,GALAXY
1606,GALAXY
1607,GALAXY
1608,GALAXY
1609,GALAXY
1610,GALAXY
1611,GALAXY
1612,QSO
1613,GALAXY
1614,GALAXY
1615,QSO
1616,GALAXY
1617,STAR
1618,GALAXY
1619,GALAXY
1620,GALAXY
1621,GALAXY
1622,STAR
1623,GALAXY
1624,STAR
1625,STAR
1626,GALAXY
1627,GALAXY
1628,STAR
1629,GALAXY
1630,GALAXY
1631,QSO
1632,STAR
1633,STAR
1634,GALAXY
1635,STAR
1636,QSO
1637,GALAXY
1638,GALAXY
1639,GALAXY
1640,QSO
1641,GALAXY
1642,GALAXY
1643,GALAXY
1644,STAR
1645,GALAXY
1646,QSO
1647,QSO
1648,GALAXY
1649,QSO
1650,GALAXY
1651,GALAXY
1652,STAR
1653,QSO
1654,GALAXY
1655,GALAXY
1656,GALAXY
1657,GALAXY
1658,STAR
1659,STAR
1660,GALAXY
1661,GALAXY
1662,QSO
1663,GALAXY
1664,GALAXY
1665,STAR
1666,STAR
1667,STAR
1668,GALAXY
1669,GALAXY
1670,GALAXY
1671,QSO
1672,STAR
1673,QSO
1674,GALAXY
1675,STAR
1676,QSO
1677,QSO
1678,GALAXY
1679,GALAXY
1680,GALAXY
1681,STAR
1682,STAR
1683,STAR
1684,STAR
1685,GALAXY
1686,GALAXY
1687,STAR
1688,STAR
1689,STAR
1690,GALAXY
1691,GALAXY
1692,STAR
1693,GALAXY
1694,STAR
1695,QSO
1696,STAR
1697,GALAXY
1698,GALAXY
1699,GALAXY
1700,STAR
1701,GALAXY
1702,QSO
1703,GALAXY
1704,GALAXY
1705,GALAXY
1706,STAR
1707,STAR
1708,STAR
1709,GALAXY
1710,GALAXY
1711,GALAXY
1712,QSO
1713,QSO
1714,GALAXY
1715,GALAXY
1716,GALAXY
1717,GALAXY
1718,STAR
1719,STAR
1720,GALAXY
1721,QSO
1722,STAR
1723,GALAXY
1724,GALAXY
1725,GALAXY
1726,GALAXY
1727,GALAXY
1728,STAR
1729,GALAXY
1730,GALAXY
1731,GALAXY
1732,QSO
1733,STAR
1734,QSO
1735,GALAXY
1736,QSO
1737,GALAXY
1738,GALAXY
1739,STAR
1740,GALAXY
1741,QSO
1742,QSO
1743,GALAXY
1744,GALAXY
1745,GALAXY
1746,GALAXY
1747,STAR
1748,STAR
1749,GALAXY
1750,GALAXY
1751,STAR
1752,GALAXY
1753,GALAXY
1754,GALAXY
1755,GALAXY
1756,GALAXY
1757,GALAXY
1758,STAR
1759,GALAXY
1760,GALAXY
1761,QSO
1762,GALAXY
1763,STAR
1764,GALAXY
1765,GALAXY
1766,GALAXY
1767,STAR
1768,GALAXY
1769,GALAXY
1770,GALAXY
1771,QSO
1772,STAR
1773,GALAXY
1774,GALAXY
1775,QSO
1776,QSO
1777,GALAXY
1778,GALAXY
1779,STAR
1780,GALAXY
1781,GALAXY
1782,GALAXY
1783,QSO
1784,QSO
1785,STAR
1786,GALAXY
1787,GALAXY
1788,STAR
1789,GALAXY
1790,STAR
1791,GALAXY
1792,GALAXY
1793,GALAXY
1794,QSO
1795,GALAXY
1796,GALAXY
1797,GALAXY
1798,GALAXY
1799,GALAXY
1800,GALAXY
1801,STAR
1802,STAR
1803,STAR
1804,QSO
1805,STAR
1806,GALAXY
1807,STAR
1808,GALAXY
1809,QSO
1810,GALAXY
1811,STAR
1812,GALAXY
1813,GALAXY
1814,GALAXY
1815,GALAXY
1816,QSO
1817,GALAXY
1818,QSO
1819,GALAXY
1820,GALAXY
1821,STAR
1822,GALAXY
1823,STAR
1824,GALAXY
1825,STAR
1826,QSO
1827,STAR
1828,QSO
1829,GALAXY
1830,STAR
1831,GALAXY
1832,GALAXY
1833,QSO
1834,GALAXY
1835,GALAXY
1836,STAR
